heroId,heroName,appearances,wins,losses,draws,winRate,nonDrawRate
dragonlingID,Dragonling,1819,1094,723,2,0.6014,0.6021
stonecasedKingID,Stonecased King,1722,1020,699,3,0.5923,0.5934
pyroID,Pyro,1831,1054,772,5,0.5756,0.5772
warriorID,Warrior,1735,993,742,0,0.5723,0.5723
werewolfID,Werewolf,1848,1043,803,2,0.5644,0.565
queenID,Queen,1729,965,763,1,0.5581,0.5584
lancerID,Lancer,1777,991,785,1,0.5577,0.558
rogueID,Rogue,1789,983,801,5,0.5495,0.551
bileCreatureID,Bile Creature,1768,962,800,6,0.5441,0.546
fireGolemID,Fire Golem,1765,959,801,5,0.5433,0.5449
vampireID,Vampire,1757,954,801,2,0.543,0.5436
assassinID,Assassin,1819,986,832,1,0.5421,0.5424
bloodmageID,Blood Mage,1771,952,817,2,0.5375,0.5382
druidID,Druid,1857,997,858,2,0.5369,0.5375
knightID,Knight,1835,972,859,4,0.5297,0.5309
rockGolemID,Rock Golem,1814,958,853,3,0.5281,0.529
executionerID,Executioner,1760,929,828,3,0.5278,0.5287
blacksmithID,Blacksmith,1774,933,840,1,0.5259,0.5262
princeID,Prince,1872,984,885,3,0.5256,0.5265
trollID,Troll,1825,956,869,0,0.5238,0.5238
reaperID,Reaper,1793,934,856,3,0.5209,0.5218
samuraiID,Samurai,1809,939,868,2,0.5191,0.5196
nephilimID,Nephilim,1833,951,881,1,0.5188,0.5191
dragonID,Dragon,1803,933,869,1,0.5175,0.5178
titanID,Titan,1720,888,830,2,0.5163,0.5169
demonID,Demon,1789,919,865,5,0.5137,0.5151
darkMageID,Dark Mage,1836,942,890,4,0.5131,0.5142
mudGolemID,Mud Golem,1788,917,869,2,0.5129,0.5134
alchemistID,Alchemist,1835,934,901,0,0.509,0.509
fallenAngelID,Fallen Angel,1764,897,859,8,0.5085,0.5108
natureGolemID,Nature Golem,1789,907,880,2,0.507,0.5076
behemothID,Behemoth,1811,917,892,2,0.5064,0.5069
thiefID,Thief,1803,910,892,1,0.5047,0.505
witchDoctorID,Witch Doctor,1841,929,912,0,0.5046,0.5046
giantID,Giant,1788,900,885,3,0.5034,0.5042
specterID,Specter,1784,896,886,2,0.5022,0.5028
fireMageID,Fire Mage,1770,888,879,3,0.5017,0.5025
angelID,Angel,1797,899,894,4,0.5003,0.5014
apothecaryID,Apothecary,1819,908,911,0,0.4992,0.4992
enchantressID,Enchantress,1839,916,922,1,0.4981,0.4984
summonerID,Summoner,1772,880,890,2,0.4966,0.4972
riderID,Rider,1752,870,880,2,0.4966,0.4971
elementalistID,Elementalist,1794,888,903,3,0.495,0.4958
prisonerID,Prisoner,1783,881,900,2,0.4941,0.4947
shieldMaidenID,Shield Maiden,1803,889,911,3,0.4931,0.4939
iceMageID,Ice Mage,1795,885,908,2,0.493,0.4936
axemanID,Axeman,1843,907,934,2,0.4921,0.4927
berserkerID,Berserker,1836,903,932,1,0.4918,0.4921
ironGolemID,Iron Golem,1734,851,878,5,0.4908,0.4922
poisonMageID,Poison Mage,1767,866,897,4,0.4901,0.4912
sorceressID,Sorceress,1760,862,894,4,0.4898,0.4909
nymphID,Nymph,1862,907,954,1,0.4871,0.4874
tinkererID,Tinkerer,1744,848,892,4,0.4862,0.4874
drunkardID,Drunkard,1848,896,949,3,0.4848,0.4856
paladinID,Paladin,1796,867,924,5,0.4827,0.4841
bountyHunterID,Bounty Hunter,1871,896,975,0,0.4789,0.4789
geishaID,Geisha,1814,864,946,4,0.4763,0.4773
lightningMageID,Lightning Mage,1775,841,933,1,0.4738,0.4741
palaceGuardID,Palace Guard,1754,830,924,0,0.4732,0.4732
priestID,Priest,1857,877,979,1,0.4723,0.4725
ninjaID,Ninja,1834,866,967,1,0.4722,0.4724
arcaneMageID,Arcane Mage,1783,838,942,3,0.47,0.4708
waterGolemID,Water Golem,1761,826,933,2,0.4691,0.4696
darkKnightID,Dark Knight,1819,848,966,5,0.4662,0.4675
jesterID,Jester,1781,821,958,2,0.461,0.4615
huntressID,Huntress,1787,820,960,7,0.4589,0.4607
elderID,Elder,1746,801,942,3,0.4588,0.4596
greenDragonID,Green Dragon,1790,814,972,4,0.4547,0.4558
tetheredSpiritID,Tethered Spirit,1750,795,953,2,0.4543,0.4548
archerID,Archer,1843,831,1010,2,0.4509,0.4514
clericID,Cleric,1756,785,971,0,0.447,0.447
necromancerID,Necromancer,1828,811,1016,1,0.4437,0.4439
battleMageID,Battle Mage,1797,788,1007,2,0.4385,0.439
monkID,Monk,1752,756,993,3,0.4315,0.4322
kingID,King,1806,772,1030,4,0.4275,0.4284
timeMageID,Time Mage,1771,752,1015,4,0.4246,0.4256
bloodGolemID,Blood Golem,1764,738,1022,4,0.4184,0.4193
innKeeperID,Inn Keeper,1794,723,1070,1,0.403,0.4032
